entity_id,source_id,jurisdiction,service_category,metric_type,service_key,service_name,row_type,snapshot_date,cohort_month,wait_raw,wait_days,unit_original,status,queue_raw,queue_people,confidence,retrieved_at,source_url
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2023-05-01,38 months left,1156.72,months,ok,"About 5,900 people ahead of you",5900,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2023-06-01,40 months left,1217.6,months,ok,"About 6,300 people ahead of you",6300,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2023-07-01,42 months left,1278.48,months,ok,"About 6,600 people ahead of you",6600,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2023-08-01,44 months left,1339.36,months,ok,"About 7,000 people ahead of you",7000,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2023-09-01,45 months left,1369.8,months,ok,"About 7,300 people ahead of you",7300,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2023-10-01,47 months left,1430.68,months,ok,"About 7,600 people ahead of you",7600,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2023-11-01,49 months left,1491.56,months,ok,"About 8,000 people ahead of you",8000,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2023-12-01,51 months left,1552.44,months,ok,"About 8,300 people ahead of you",8300,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-01-01,52 months left,1582.88,months,ok,"About 8,600 people ahead of you",8600,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,cohort,2026-08-10,2024-02-01,54 months left,1643.76,months,ok,"About 9,000 people ahead of you",9000,official,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
