entity_id,source_id,jurisdiction,service_category,metric_type,service_key,service_name,applicant_country,applicant_country_name,observation_number,value_raw,value_days,unit_original,status,effective_date,retrieved_at,source_url
ca-refugee-private-refugee-side--mr,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MR,Mauritania,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mr,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MR,Mauritania,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mt,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MT,Malta,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mt,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MT,Malta,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mu,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MU,Mauritius,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mu,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MU,Mauritius,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mv,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MV,Maldives,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mv,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MV,Maldives,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mw,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MW,Malawi,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mw,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MW,Malawi,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mx,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MX,Mexico,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mx,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MX,Mexico,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--my,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MY,Malaysia,1,28 months,852.32,months,ok,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--my,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MY,Malaysia,2,28 months,852.32,months,ok,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mz,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MZ,Mozambique,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--mz,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,MZ,Mozambique,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--na,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NA,Namibia,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--na,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NA,Namibia,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--nc,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NC,New Caledonia,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--nc,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NC,New Caledonia,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--ne,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NE,Niger,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-21T11:37:08.257Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
ca-refugee-private-refugee-side--ne,ircc-ptime,CA,refugee,backward,ca-refugee-private-refugee-side,Privately sponsored refugee: refugee processing,NE,Niger,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:47.375Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json
