entity_id,source_id,jurisdiction,service_category,metric_type,service_key,service_name,applicant_country,applicant_country_name,value_raw,value_days,unit_original,status,effective_date,retrieved_at,source_url,confidence,source_collection_status,source_collection_status_since,source_collection_status_note,source_last_verified_at
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,,,More than 10 years,3652.5,years,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-protected-persons-in-canada-outside-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-persons-in-canada-outside-quebec,Protected persons and Convention refugees in Canada — outside Quebec,,,About 13 months,395.72,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-protected-persons-in-canada-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-persons-in-canada-quebec,Protected persons and Convention refugees in Canada — Quebec,,,More than 10 years,3652.5,years,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-provincial-nominee-express-entry,ircc-forward-looking,CA,settlement,forward,ca-provincial-nominee-express-entry,Provincial Nominee Program (Express Entry),,,About 7 months,213.08,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-provincial-nominee-non-express-entry,ircc-forward-looking,CA,settlement,forward,ca-provincial-nominee-non-express-entry,Provincial Nominee Program (non-Express Entry),,,About 13 months,395.72,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-quebec-business-class,ircc-forward-looking,CA,settlement,forward,ca-quebec-business-class,Quebec Business Class,,,About 75 months,2283,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-quebec-skilled-worker,ircc-forward-looking,CA,settlement,forward,ca-quebec-skilled-worker,Quebec Skilled Worker Program,,,11 months,334.84,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-refugee-gov-assisted--ad,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AD,Andorra,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--ae,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AE,United Arab Emirates,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--af,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AF,Afghanistan,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--ag,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AG,Antigua & Barbuda,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--ai,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AI,Anguilla,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
ca-refugee-gov-assisted--al,ircc-ptime,CA,refugee,backward,ca-refugee-gov-assisted,Government-assisted refugee resettlement,AL,Albania,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:26.696Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-en.json,official,active,,,2026-09-25T01:18:44.823Z
